source_id,rq_id,design,appraisal_tool,domain_judgments,overall_judgment,youth_directness,architecture_directness,outcome_compatibility,time_horizon_compatibility,correction_state,overlap_group,reviewer_1,reviewer_2,adjudication,human_confirmation,notes
"FRV2-A-005","RQ-A","SYSTEMATIC_REVIEW_OF_META_ANALYSES","AMSTAR_2","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=AMSTAR_2;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","INDIRECT","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","FRV2-OVERLAP-PERIODIZATION-METHODOLOGY","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Cannot justify a running microcycle duration or 9.5-day optimality; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-006","RQ-A","CROSS_SECTIONAL_COACH_SURVEY","JBI_ANALYTICAL_CROSS_SECTIONAL","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_ANALYTICAL_CROSS_SECTIONAL;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","INDIRECT","INDIRECT","PARTIAL","PARTIAL","NOT_VERIFIED","FRV2-OVERLAP-COACH-PLANNING-SURVEYS","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Perception evidence cannot establish 9.5-day efficacy or safety; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-007","RQ-A","DESCRIPTIVE_MULTIPLE_CASE_STUDY","JBI_CASE_REPORT","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_CASE_REPORT;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","CURRENT_CROSSMARK","FRV2-OVERLAP-ENDURANCE-COACH-CASE_STUDIES","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Counterevidence to claiming elite endurance practice abandons weeks; no efficacy inference; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-008","RQ-A","NARRATIVE_REVIEW","SANRA_NARRATIVE_REVIEW","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=SANRA_NARRATIVE_REVIEW;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","COMPATIBLE","COMPATIBLE","NOT_VERIFIED","FRV2-OVERLAP-RUNNER-PERIODIZATION-REVIEWS","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Adult long-distance practice only; no 9.5-day efficacy or youth safety inference; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-009","RQ-A","OBSERVATIONAL_COHORT_CASE_STUDY","JBI_COHORT","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_COHORT;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","COMPATIBLE","PARTIAL","NOT_VERIFIED","FRV2-OVERLAP-ALTITUDE-RUNNER-COHORTS","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Does not authorize 9.5-day efficacy, safety, or a fixed MAIN count; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-010","RQ-A","RANDOMIZED_SUPPLEMENT_PLACEBO_OVERLOAD_EXPERIMENT","ROB_2","full_text=FULL_TEXT_VERIFIED;screening=EXCLUDE;tool=ROB_2;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","PARTIAL","NOT_APPLICABLE","INCOMPATIBLE","INCOMPATIBLE","NOT_VERIFIED","FRV2-OVERLAP-EXACT-DURATION-FALSE-POSITIVES","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=EXCLUDE; limitations=Exact-duration false positive; prohibited as evidence for 9.5-day Formation; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-011","RQ-A","ATHLETE_INTERVIEW_REPORT","JBI_TEXT_AND_OPINION","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NOT_VERIFIED","FRV2-OVERLAP-NONWEEKLY-COACHING-USE","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Performance cannot be attributed to the cycle; no youth, safety, or 9.5-day validation; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-012","RQ-A","JOURNALISTIC_SELF_REPORT","JBI_TEXT_AND_OPINION","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NOT_VERIFIED","FRV2-OVERLAP-NONWEEKLY-COACHING-USE","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Cannot establish causal benefit, recovery completion, youth suitability, or 9.5-day superiority; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-013","RQ-A","COACH_ATHLETE_INTERVIEW_PRACTICE_ARTICLE","JBI_TEXT_AND_OPINION","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","PARTIAL","COMPATIBLE","PARTIAL","NOT_VERIFIED","FRV2-OVERLAP-NONWEEKLY-COACHING-USE","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=The 72 h statement is preference only, never clearance; no 9.5-day efficacy or safety inference; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-014","RQ-A","COACHING_ARTICLE","JBI_TEXT_AND_OPINION","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","PARTIAL","PARTIAL","COMPATIBLE","NOT_VERIFIED","FRV2-OVERLAP-NONWEEKLY-COACHING-USE","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Unsupported injury and benefit language excluded; no prevalence, efficacy, or safety evidence; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
