source_id,rq_id,design,appraisal_tool,domain_judgments,overall_judgment,youth_directness,architecture_directness,outcome_compatibility,time_horizon_compatibility,correction_state,overlap_group,reviewer_1,reviewer_2,adjudication,human_confirmation,notes
FRV2-A-005,RQ-A,SYSTEMATIC_REVIEW_OF_META_ANALYSES,AMSTAR_2,LANE_1[PROTOCOL=NOT_VERIFIED;SEARCH=SOURCE_REPORTED;DUPLICATE_PROCESSES=NOT_VERIFIED;RISK_OF_BIAS_APPRAISAL=SOURCE_SPECIFIC;SYNTHESIS=SOME_CONCERNS;OVERLAP=RECORDED_SEPARATELY] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=AMSTAR_2;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],SOME_CONCERNS,INDIRECT,INDIRECT,PARTIAL,NOT_VERIFIED,NOT_VERIFIED,FRV2-OVERLAP-PERIODIZATION-METHODOLOGY,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 SOME_CONCERNS judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. No audited study tested varied nonperiodized comparators or accuracy of adaptation-timing predictions; running transfer is indirect. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Cannot justify a running microcycle duration or 9.5-day optimality; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-006,RQ-A,CROSS_SECTIONAL_COACH_SURVEY,JBI_ANALYTICAL_CROSS_SECTIONAL,LANE_1[SAMPLE_FRAME=SOME_CONCERNS;EXPOSURE_MEASUREMENT=SOURCE_SPECIFIC;CONFOUNDING=SOME_CONCERNS;OUTCOME_MEASUREMENT=SOURCE_SPECIFIC;TEMPORALITY=ABSENT;CAUSAL_USE=PROHIBITED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_ANALYTICAL_CROSS_SECTIONAL;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],SOME_CONCERNS,INDIRECT,INDIRECT,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-COACH-PLANNING-SURVEYS,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 SOME_CONCERNS judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Perceptions support revisable planning indirectly; no running subgroup, cycle prevalence, or outcome efficacy. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Perception evidence cannot establish 9.5-day efficacy or safety; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-007,RQ-A,DESCRIPTIVE_MULTIPLE_CASE_STUDY,NOT_VERIFIED,LANE_1[CASE_SELECTION=HIGH_CONCERN;HISTORY=SOURCE_SPECIFIC;EXPOSURE=SOURCE_SPECIFIC;OUTCOMES=SOURCE_SPECIFIC;CONCURRENT_CHANGE=HIGH_CONCERN;GENERALIZATION=PROHIBITED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_CASE_REPORT;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],HIGH_CONCERN,INDIRECT,INDIRECT,PARTIAL,NOT_VERIFIED,CURRENT_CROSSMARK,FRV2-OVERLAP-ENDURANCE-COACH-CASE_STUDIES,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Weekly organization remained explicit and pragmatic adjustments were reported; middle-distance events under six minutes were excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Counterevidence to claiming elite endurance practice abandons weeks; no efficacy inference; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-008,RQ-A,NARRATIVE_REVIEW,NOT_VERIFIED,LANE_1[IMPORTANCE=STATED;AIMS=STATED;SEARCH_DESCRIPTION=PARTIAL;REFERENCING=SOURCE_SPECIFIC;SCIENTIFIC_REASONING=HIGH_CONCERN;EFFECT_CERTAINTY=NOT_ESTIMATED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=SANRA_NARRATIVE_REVIEW;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],HIGH_CONCERN,INDIRECT,INDIRECT,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,FRV2-OVERLAP-RUNNER-PERIODIZATION-REVIEWS,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Reports 11-14 sessions per week and typical training weeks; no nonweekly-frame comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Adult long-distance practice only; no 9.5-day efficacy or youth safety inference; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-009,RQ-A,OBSERVATIONAL_COHORT_CASE_STUDY,JBI_COHORT,LANE_1[GROUP_SELECTION=HIGH_CONCERN;EXPOSURE_MEASUREMENT=SOURCE_SPECIFIC;CONFOUNDING=HIGH_CONCERN;OUTCOME_MEASUREMENT=SOURCE_SPECIFIC;FOLLOW_UP=SOURCE_SPECIFIC;CAUSAL_USE=PROHIBITED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_COHORT;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],HIGH_CONCERN,INDIRECT,INDIRECT,NOT_VERIFIED,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-ALTITUDE-RUNNER-COHORTS,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Typical training week with individual event and altitude adjustments; n=8 and no nonweekly comparator. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Does not authorize 9.5-day efficacy, safety, or a fixed MAIN count; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-010,RQ-A,RANDOMIZED_SUPPLEMENT_PLACEBO_OVERLOAD_EXPERIMENT,NOT_VERIFIED,LANE_1[RANDOMIZATION=NOT_VERIFIED;DEVIATIONS=SOME_CONCERNS;MISSING_OUTCOME_DATA=SOURCE_SPECIFIC;OUTCOME_MEASUREMENT=SOURCE_SPECIFIC;SELECTIVE_REPORTING=NOT_VERIFIED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=EXCLUDE;tool=ROB_2;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED],NOT_ASSESSABLE,INDIRECT,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,FRV2-OVERLAP-EXACT-DURATION-FALSE-POSITIVES,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 SOME_CONCERNS judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. A 9-9.5 consecutive-day overload exposure, not a recurring microcycle; exclude as frame evidence. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=EXCLUDE; limitations=Exact-duration false positive; prohibited as evidence for 9.5-day Formation; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-011,RQ-A,ATHLETE_INTERVIEW_REPORT,NOT_VERIFIED,LANE_1[PROVENANCE=VERIFIED_FOR_REPORTED_PRACTICE;SELECTION=HIGH_CONCERN;SELF_REPORT=HIGH_CONCERN;COMPARATOR=ABSENT;OUTCOME_ATTRIBUTION=PROHIBITED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Verified retrospective self-report of a 9-day cycle; use evidence only, with no causal efficacy or youth-transfer inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Performance cannot be attributed to the cycle; no youth, safety, or 9.5-day validation; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-012,RQ-A,JOURNALISTIC_SELF_REPORT,NOT_VERIFIED,LANE_1[PROVENANCE=VERIFIED_FOR_REPORTED_PRACTICE;SELECTION=HIGH_CONCERN;SELF_REPORT=HIGH_CONCERN;COMPARATOR=ABSENT;OUTCOME_ATTRIBUTION=PROHIBITED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Single self-programmed 9-day case with self-reported outcomes and concurrent changes; no causal inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Cannot establish causal benefit, recovery completion, youth suitability, or 9.5-day superiority; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-013,RQ-A,COACH_ATHLETE_INTERVIEW_PRACTICE_ARTICLE,NOT_VERIFIED,LANE_1[PROVENANCE=VERIFIED_FOR_REPORTED_PRACTICE;SELECTION=HIGH_CONCERN;SELF_REPORT=HIGH_CONCERN;COMPARATOR=ABSENT;OUTCOME_ATTRIBUTION=PROHIBITED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],HIGH_CONCERN,INDIRECT,PARTIAL,NOT_VERIFIED,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Hunt reports actual 10-day use; article also provides a 9-day template and practical counterevidence. A quoted 72 hours is not clearance. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=The 72 h statement is preference only, never clearance; no 9.5-day efficacy or safety inference; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
FRV2-A-014,RQ-A,COACHING_ARTICLE,NOT_VERIFIED,LANE_1[PROVENANCE=VERIFIED_FOR_REPORTED_PRACTICE;SELECTION=HIGH_CONCERN;SELF_REPORT=HIGH_CONCERN;COMPARATOR=ABSENT;OUTCOME_ATTRIBUTION=PROHIBITED] | LANE_2[full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE],HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,NOT_VERIFIED,NOT_VERIFIED,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,AI_APPRAISAL_LANE_1,AI_APPRAISAL_LANE_2,PENDING_HUMAN_APPRAISAL_ADJUDICATION,PENDING_HUMAN,"LANE_1[Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Third-party report of 10-day use, not a primary verified protocol; unsupported injury language excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false] | LANE_2[independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Unsupported injury and benefit language excluded; no prevalence, efficacy, or safety evidence; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false]"
