conflict_id,severity,path,current_clause,latest_owner_baseline,required_patch,status,user_impact
FRV2-CONF-001,BLOCKER,"specs/reconstruct/TRAINING_PLAN_FORMATION_AND_ADAPTATION_SPEC.md;specs/reconstruct/FORMATION_PRODUCT_PROJECTION_AND_EXPLANATION_CONTRACT.md;specs/reconstruct/MICROCYCLE_AND_CALENDAR_MAPPING_SPEC.md;specs/reconstruct/PLAN_OUTPUT_RATIONALE_PRIVACY_SPEC.md","auto-select prohibited and downstream projection/calendar/rationale have no system-primary-default awaiting execution state","ONE_DETERMINISTIC_9_5_PLAN; execution gate separate","Add planAuthority executionState selectionOrigin lineage exact half-day display and rationale binding across the full user projection chain",PATCH_REQUIRED,"Athlete otherwise sees a chooser or cannot distinguish the selected default from the plan currently allowed to run"
FRV2-CONF-002,BLOCKER,specs/active/PLAN_GENERATOR_SPEC.md,"draft options only; coach final selection required","DEFAULT_AUTOMATED_PRESCRIPTION","Separate deterministic default selection from youth execution confirmation",PATCH_REQUIRED,"Coach otherwise must choose among avoidable alternatives"
FRV2-CONF-003,HIGH,"specs/active/TEMPLATE_LIBRARY_SPEC.md;specs/active/PHYSIO_SOURCE_TRUST_SPEC.md","template and physio consumers still require coach selection","DEFAULT_AUTOMATED_PRESCRIPTION","Let eligible inputs constrain or suppress one primary default; preserve REVIEW_REQUIRED as non-auto-selectable without restoring a mandatory chooser",PATCH_REQUIRED,"A downstream consumer can silently restore outdated coach-only selection authority"
FRV2-CONF-004,HIGH,"FORMATION_RESEARCH_ACCEPTANCE_DECISION.md;TRAINING_PLAN_METHOD_DECISION.md;FABLE_CODEX_JOINT_PLANNING_BRIEF.md;TRAINING_PLAN_BLUEPRINT_MULTIPERSPECTIVE_REVIEW.md;reports/research/FORMATION_SPORTS_SCIENCE_EVIDENCE_REVIEW.md","Earlier records encode no auto-selection two-to-three plan options or coach-only final selection","LATEST_EXPLICIT_OWNER_DECISION_GOVERNS","Add SUPERSEDED_PRODUCT_DIRECTION headers while preserving historical runtime-off shadow and safety facts",PATCH_APPLIED_PENDING_INDEPENDENT_REVIEW,"Reader may mistake superseded product direction for the current 9.5 default authority"
FRV2-CONF-005,HIGH,FORMATION_READ_NOW_DECIDE_LATER.md,"Earlier coach-final or no-automatic-plan wording","LATEST_EXPLICIT_OWNER_DECISION_GOVERNS","Replace with no active runtime before gates and mark supersession",PATCH_APPLIED_PENDING_INDEPENDENT_REVIEW,"Athlete and coach cannot tell target from current state"
FRV2-CONF-006,HIGH,FORMATION_DEFERRED_GOALS.md,"Automatic finalization remains deferred","9_5_DAY_DEFAULT_AUTOMATED_PRESCRIPTION_FIXED","Remove identity from deferred scope; keep activation gates deferred",PATCH_APPLIED_PENDING_INDEPENDENT_REVIEW,"Product direction appears undecided"
FRV2-CONF-007,BLOCKER,"specs/reconstruct/DAILY_LOG_AND_CHECKIN_SPEC.md;RACE_SELFCHECK_FIELDS_DECISION.md","daily-log and race-note clauses absolutely forbid owner export","MEMOS_EXCLUDED_BY_DEFAULT; OWNER_FULL_LOCAL_BACKUP_EXPLICIT_INCLUDE","Apply USER_DIRECTED_FILE_OPERATION with local preview confirmation zero network analytics reward and Formation effects",PATCH_REQUIRED,"Athlete cannot exercise the approved ownership and full local backup choice"
FRV2-CONF-008,HIGH,"specs/reconstruct/FORMATION_RECORD_GOVERNANCE_CONTRACT.md;specs/reconstruct/HUMAN_REVIEW_AND_SHARING_WORKFLOW.md","Recipient share contract and in-app share capability are absent","USER_DIRECTED_RECIPIENT_SHARE_ALLOWED_BUT_NOT_IMPLEMENTED; separate from analysis consent and standing access","Create recipient identity purpose exact-field preview confirmation and no-standing-access contract; memo inclusion must be off by default and explicit when selected; define expiry revocation download and re-share behavior privacy-safe audit youth handling and deletion propagation; keep sharing unavailable until accepted implementation and privacy evidence exist; transport grants no analysis consent and has no Formation plan safety reward telemetry coach standing-access or other secondary-use effect",TARGET_BOUND_PENDING_QUALIFIED_REVIEW,"Athlete cannot yet safely share with coach friend or guardian and must not be told the unavailable function already works"
FRV2-CONF-009,BLOCKER_BEFORE_UI_ACCEPTANCE,"reports/review/FORMATION_ACCESSIBILITY_AND_DESIGN_REVIEW.md;specs/reconstruct/FORMATION_PRODUCT_PROJECTION_AND_EXPLANATION_CONTRACT.md","named human and assistive-technology acceptance absent; middle-school default and authority teach-back incomplete","USER_COMPREHENSION_AND_ACCESSIBILITY_REQUIRED","Bind easy Korean default separate selection-versus-execution questions 400-percent-equivalent reflow long-label keyboard screen-reader contrast and reduced-motion cases then run named athlete coach privacy and AT review",HUMAN_REVIEW_REQUIRED,"Some athletes may not understand who selected the plan whether it runs now or what they can do when blocked"
FRV2-CONF-010,HIGH,RACE_SELFCHECK_FIELDS_DECISION.md,"section 4 records all four self-check fields as collection and display only without preserving the later analysis direction","CURRENT_DISPLAY_ONLY_FUTURE_ANALYSIS_INTENDED_FOR_ATHLETE_OWN_ANALYSIS","Mark display-only as the current pilot state; add a separate athlete-own analysis contract for tension condition goal pace and mood with provenance missingness within-athlete interpretation uncertainty user explanation and owner approval; forbid current plan safety reward telemetry coach access and third-party use unless each is separately approved",PATCH_APPLIED_PENDING_INDEPENDENT_REVIEW,"Athletes may think the entries are decorative forever or later find them used for plans safety or other people without a clear purpose and boundary"
