source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
FRV2-A-005,RQ-A,Humans represented in periodization meta-analyses; underlying studies were strength training,NOT_VERIFIED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_APPLICABLE,NOT_VERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
FRV2-A-006,RQ-A,NOT_VERIFIED,NOT_VERIFIED,18-65+ years,92% male; 8% female,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
FRV2-A-007,RQ-A,12 successful male Norwegian coaches across eight Olympic endurance sports,NOT_VERIFIED,NOT_REPORTED,Male,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
FRV2-A-008,RQ-A,World-class adult distance runners,NOT_VERIFIED,Adult,Mixed; not separately extracted,ADULT,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
FRV2-A-009,RQ-A,Eight elite adult middle-distance runners,NOT_VERIFIED,25 +/- 6 years,6 male; 2 female,ADULT,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
FRV2-A-010,RQ-A,13 healthy adult runners,NOT_VERIFIED,NOT_VERIFIED,9 male; 4 female,ADULT,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,Glutamine versus placebo,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,One participant withdrew; reason NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,SCREENING_EXCLUDED_PENDING_HUMAN
FRV2-A-011,RQ-A,"Meb Keflezighi, elite adult male marathoner",NOT_VERIFIED,Late 30s,Male,ADULT,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,No comparator,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,Other running adjusted by feel,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
FRV2-A-012,RQ-A,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,Male,ADULT,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,No controlled comparator,Threshold/easy/easy repeated; third quality exposure was a long run,NOT_VERIFIED,NOT_VERIFIED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
FRV2-A-013,RQ-A,Adult distance runners and coaches including Lindsey Scherf and Thom Hunt,NOT_VERIFIED,Adult,Mixed,ADULT,NOT_REPORTED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,72,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
FRV2-A-014,RQ-A,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,NOT_VERIFIED,NOT_REPORTED,NOT_VERIFIED,AI_EXTRACTION_LANE_1,AI_EXTRACTION_LANE_2,PENDING_HUMAN_FIELD_ADJUDICATION
