source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
FRV2-E-001,RQ-E,sports medicine measurement populations,test-retest reliability and measurement error,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED_OR_NOT_REPORTED,NOT_APPLICABLE,multiple retests under a compatible metric and protocol,systematic bias versus random error; additive versus proportional error,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEASUREMENT_ERROR,SYSTEMATIC_BIAS; RANDOM_ERROR; SEM; CV; LIMITS_OF_AGREEMENT,metric-specific repeated-test protocol; inspect heteroscedasticity and scale,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,formula choice; scale dependence; and compatible-protocol uncertainty must be retained,Supports MEASUREMENT_ERROR_EXCEEDING_CHANGE only against a compatible error estimate; no efficacy or safety inference,ABSTRACT_ONLY; reliability does not transfer automatically across athletes devices tests or protocols; no universal observation count or freshness threshold,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-003,RQ-E,test-retest measurement populations,ICC and SEM estimation,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,test-retest reliability estimation,ICC model and variance-component alternatives,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEASUREMENT_ERROR,ICC; SEM; MDC_OR_INDIVIDUAL_CHANGE_BOUND,named ICC model; variance components; SEM formula; MDC confidence level,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,ICC depends on sample heterogeneity; alternate ICC and SEM formulas produce different values,MEASUREMENT_ERROR_EXCEEDING_CHANGE requires calculation provenance and a compatible protocol; naked SEM or MDC values are insufficient,ABSTRACT_ONLY; no universal observation count time span or freshness rule reported,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-004,RQ-E,athletes and sporting-performance tests,sport performance testing,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED_OR_NOT_REPORTED,NOT_APPLICABLE,performance-test property appraisal,target performance construct and worthwhile-change requirement,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEASUREMENT_PROPERTIES,VALIDITY; RELIABILITY; SENSITIVITY_OR_RESPONSIVENESS,test-specific sport-specific and population-specific protocol,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,error must be small relative to intended worthwhile change and validity must match the construct,A reliable but invalid proxy cannot promote beyond OBSERVATION or DESCRIPTIVE_BASELINE; level 3 needs both construct validity and compatible error,ABSTRACT_ONLY; laboratory sensitivity does not establish competition validity; no universal n or freshness threshold,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-006,RQ-E,exercise and nutrition intervention populations,individual response and meaningful change,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED_OR_NOT_REPORTED,NOT_APPLICABLE,statistical interpretation of individual intervention response,typical error and confidence interval versus justified SWC,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,INDIVIDUAL_RESPONSE_METHODS,TYPICAL_ERROR; CONFIDENCE_INTERVAL; SWC; BIOLOGICAL_VARIABILITY,metric-specific error model plus justified importance threshold,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,baseline uncertainty and SWC justification remain outcome and decision specific,MEASUREMENT_ERROR_EXCEEDING_CHANGE and worthwhile-change status must be shown separately; neither creates a stable responder causal efficacy or safety claim,FULL_TEXT_VERIFIED; threshold classification does not prove repeatable person-by-intervention response; no universal n or freshness threshold,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-007,RQ-E,exercise-training participants,subject-by-training response,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED_OR_NOT_REPORTED,NOT_APPLICABLE,exercise training response decomposition,measurement error; subject-by-training interaction; within-subject efficacy variation; relevant controls,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,INDIVIDUAL_RESPONSE_METHODS,MEASUREMENT_ERROR; WITHIN_SUBJECT_VARIATION; SUBJECT_BY_TRAINING_INTERACTION,controlled and replicated response design,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,a control group alone may not reveal within-person variation in efficacy; low signal-to-noise remains,One pre-post episode cannot establish a responder; PROSPECTIVE_HYPOTHESIS_COMPARISON needs relevant control and replicated or otherwise design-valid contrasts but no permanent phenotype,ABSTRACT_ONLY; no universal replication count time span or freshness rule reported,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-008,RQ-E,human exercise-training studies,trainability and response classification,ADULT_AND_CLINICAL_MIXED,MIXED_OR_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED,NOT_APPLICABLE,systematic review of individual-response estimation approaches,error-aware and importance-aware thresholds versus simple pre-post or group-SD classification,NOT_VERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,INDIVIDUAL_RESPONSE_METHODS,INTERINDIVIDUAL_VARIATION; RESPONSE_CLASSIFICATION; ERROR; SWC_OR_MCID,study-specific outcome and threshold methods,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_VERIFIED,response rates depend on threshold method and classification uncertainty,Simple sign or group-SD bands cannot promote a claim; error and justified importance threshold are both required but do not establish within-athlete causality,FULL_TEXT_VERIFIED; heterogeneous studies and outcomes prevent universal thresholds and direct youth or middle-distance transfer,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-009,RQ-E,clinical trial and personalised-medicine examples,variance components and replicated individual contrasts,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,CLINICAL_MIXED,NOT_APPLICABLE,replicated crossover and variance-component logic,repeatable individual contrast versus observed between-person spread,NOT_REPORTED,counterbalanced or repeated contrast logic,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,INDIVIDUAL_RESPONSE_METHODS,TREATMENT_EFFECT_HETEROGENEITY; WITHIN_PERSON_VARIATION; MEASUREMENT_VARIATION,variance components and replicated crossover design,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,clinical examples are indirect to sport and observed spread does not prove repeatable personal response,PROSPECTIVE_HYPOTHESIS_COMPARISON requires repeatability of the individual contrast; permanent responder phenotype remains prohibited,FULL_TEXT_VERIFIED; skeptical methods critique; no universal observation count time span or freshness threshold,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-010,RQ-E,sports science statistical applications,magnitude-based inference operating characteristics,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,statistical review and re-expression of magnitude-based inference,MBI procedures versus transparent confidence intervals or fully specified Bayesian models,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,STATISTICAL_INFERENCE,TYPE_I_AND_TYPE_II_ERROR; INTERVALS; SMALLEST_IMPORTANT_EFFECT,fully specified inferential model and separately justified important effect,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MBI inferential procedure is the target; practical-importance thresholds are a separate question,SWC may inform an importance boundary but MBI labels cannot promote MEASUREMENT_ERROR_EXCEEDING_CHANGE or PROSPECTIVE_HYPOTHESIS_COMPARISON,FULL_TEXT_VERIFIED; reduced-sample claims are not justified; no special small-n exemption or universal n threshold,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-011,RQ-E,sports science statistical applications,MBI type-I and type-II error simulation,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,simulation and mathematical critique of magnitude-based inference,error-rate behavior across effect sizes sample sizes and smallest important effects,NOT_VERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,STATISTICAL_INFERENCE,TYPE_I_ERROR; TYPE_II_ERROR; LIKELY_WORTHWHILE_CLASSIFICATION,method whose operating characteristics match the claim,NOT_APPLICABLE,NOT_VERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_VERIFIED,small-sample inferential uncertainty and false-positive behavior must be disclosed,A likely-worthwhile label cannot promote any ladder level without valid uncertainty; small samples receive no causal exemption,ABSTRACT_ONLY; focused on MBI rather than athlete-monitoring thresholds; no universal n or freshness rule,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
FRV2-E-013,RQ-E,patients clinicians and N-of-1 trial designers,randomized periods repeated assessment onset carryover and washout,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,CLINICAL_MIXED,NOT_APPLICABLE,balanced or randomized treatment periods with repeated assessment,alternate treatment periods with onset and carryover handling,PERIOD_LENGTH_INTERVENTION_SPECIFIC,balanced or randomized order,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,N_OF_1_DESIGN,AUTOCORRELATION; ONSET; CARRYOVER; WASHOUT; MODEL_CHECKING,AHRQ N-of-1 design and analysis guidance,HYPOTHESIS_AND_INTERVENTION_SPECIFIC,NOT_REPORTED,assessment burden and missingness must be planned,ethics and harms planning required; exact events not applicable to methods guide,NOT_APPLICABLE,serial dependence onset carryover assessment burden and model assumptions remain design-specific,PROSPECTIVE_HYPOTHESIS_COMPARISON requires prospective periods serial analysis and carryover treatment; inseparable training adaptation blocks isolated component attribution,FULL_TEXT_VERIFIED; clinical-treatment transfer is indirect; training carryover may be intended and cannot be replaced by universal washout duration n or freshness,AI_EXTRACT_LANE_1,NOT_APPLICABLE,PENDING_DUAL_EXTRACTION
