source_id,rq_id,field,lane_1_value,lane_2_value,resolution,human_confirmation
FRV2-A-005,RQ-A,event,STRENGTH_TRAINING,Strength training,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,competitive_level,MIXED,Mixed,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,intervention,Systematic review of periodized versus non-periodized exercise meta-analyses,Periodized exercise programs,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,comparator,Varied non-periodized comparators and prediction-accuracy tests,Non-periodized exercise programs as defined in prior meta-analyses,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,component_dose,21 studies in two meta-analyses,NOT_VERIFIED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,separation_hours,NOT_APPLICABLE,NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,outcome_domain,METHODOLOGY;ADAPTATION_TIMING,METHODOLOGY,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,outcome_measure,Presence of varied comparator; prospective accuracy of predicted timing,Comparator validity and adaptation-timing assumptions,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,instrument_protocol,FULL_TEXT_VERIFIED,Systematic review of meta-analyses,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,time_horizon,NOT_REPORTED,Long-term interventions,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,missingness,"Running population, youth strata, dose, and timing details NOT_REPORTED",NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,effect_estimate,None of the audited studies tested varied non-periodized comparators or predicted adaptation timing,Audited literature did not test varied nonperiodized comparators or timing-prediction accuracy,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,uncertainty,No distance-running evidence; no 7-day versus 9/9.5/10-day comparison,Indirect to running and dependent on underlying review quality,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-005,RQ-A,limitations,Strength-only evidence; does not validate any nonweekly running frame or predict recovery/adaptation completion,Cannot justify a running microcycle duration or 9.5-day optimality,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,population,106 coaches; 58% individual-sport coaches; 32% coached international-level athletes,106 coaches; 58% individual-sport coaches and 32% coaching international-level athletes,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,event,MULTIPLE_SPORTS,Multiple sports,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,training_age,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,competitive_level,AMATEUR_THROUGH_INTERNATIONAL,Amateur through international coaching,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,season,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,intervention,Convenience online survey of planning concepts,Survey of common planning concepts,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,component_dose,Questionnaire; dose NOT_APPLICABLE,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,component_order,NOT_APPLICABLE,Planning concepts and plan revision,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,outcome_domain,COACH_PERCEPTION;PLAN_REVISABILITY,COACH_PERCEPTION,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,outcome_measure,Agreement with fixed adaptation timeframes and fixed targets,Use and perceived usefulness of planning concepts,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,instrument_protocol,FULL_TEXT_VERIFIED survey,Cross-sectional international survey,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,time_horizon,CROSS_SECTIONAL,Current coaching practice,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,time_points,ONE_SURVEY,Single survey,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,missingness,Running-specific subgroup and behavior verification NOT_REPORTED,NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,effect_estimate,33% agreed adaptations are achievable within fixed timeframes; 76% disagreed targets should remain fixed,Coach perceptions support revisable planning indirectly,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,uncertainty,Self-selection; perceptions do not establish efficacy or cycle prevalence,"No runner subgroup, cycle prevalence, or outcome efficacy",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-006,RQ-A,limitations,No running-specific subgroup; 92% male; no 9/9.5/10-day question or outcome efficacy,Perception evidence cannot establish 9.5-day efficacy or safety,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,event,LONG_DISTANCE_RUNNING_AND_OTHER_OLYMPIC_ENDURANCE,Long-distance running and seven other Olympic endurance sports,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,training_age,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,competitive_level,WORLD_CLASS_COACH_INFORMANTS,World-class coach informants,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,season,MULTIPLE_ANNUAL_PHASES,Multiple phases,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,intervention,"Questionnaire, training-log cross-reference, and interviews describing endurance planning",Best-practice training characteristics,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,comparator,NOT_APPLICABLE,No nonweekly comparator,NOT_VERIFIED,PENDING_HUMAN
