source_id,primary_rq,secondary_rqs,decision,reason,reviewer_id
"FRV2-A-005","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: No audited study tested varied nonperiodized comparators or accuracy of adaptation-timing predictions; running transfer is indirect. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-006","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Perceptions support revisable planning indirectly; no running subgroup, cycle prevalence, or outcome efficacy. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-007","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Weekly organization remained explicit and pragmatic adjustments were reported; middle-distance events under six minutes were excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-008","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Reports 11-14 sessions per week and typical training weeks; no nonweekly-frame comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-009","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Typical training week with individual event and altitude adjustments; n=8 and no nonweekly comparator. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-010","RQ-A","","EXCLUDE","Irrelevant-duration false positive: nine consecutive overload days are not a recurring nonweekly microcycle or 9.5-day prescription frame.","AI_SCREEN_LANE_1"
"FRV2-A-011","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Verified retrospective self-report of a 9-day cycle; use evidence only, with no causal efficacy or youth-transfer inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-012","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Single self-programmed 9-day case with self-reported outcomes and concurrent changes; no causal inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-013","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Hunt reports actual 10-day use; article also provides a 9-day template and practical counterevidence. A quoted 72 hours is not clearance. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-014","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Third-party report of 10-day use, not a primary verified protocol; unsupported injury language excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
