claim_id,rq_id,claim_text,evidence_status,permitted_claim,youth_directness,architecture_directness,supporting_source_ids,opposing_source_ids,limitations,owner_decision,runtime_authority,review_state
FRV2-CLAIM-A-001,RQ-A,"고정 7일 계획은 일정과 회복 및 세션 배치 충돌을 만들 수 있다",CONDITIONALLY_SUPPORTED,DESCRIPTIVE_ONLY,INDIRECT,INDIRECT,"FRV2-A-006;FRV2-A-012;FRV2-A-013","FRV2-A-007;FRV2-A-008;FRV2-A-009","직접 주자 비교시험과 효과크기 없음",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-A-002,RQ-A,"9일과 10일 주기는 실제 선수 및 코칭 사례에서 사용됐다",SUPPORTED,DESCRIPTIVE_ONLY,INDIRECT,INDIRECT,"FRV2-A-012;FRV2-A-013;FRV2-A-015;FRV2-A-017",NOT_FOUND,"사례는 사용만 입증하며 효능이나 보급률을 입증하지 않음",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-A-003,RQ-A,"9-10일 주기는 흔하게 사용된다",UNKNOWN,PROHIBITED,INDIRECT,INDIRECT,NOT_FOUND,NOT_FOUND,"대표 표본과 분모가 없음",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-A-004,RQ-A,"정확한 9.5일은 과학적으로 더 좋거나 더 안전하다",UNKNOWN,PROHIBITED,INDIRECT,INDIRECT,NOT_FOUND,NOT_FOUND,"정확한 비교와 전체 구조 연구가 없음",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-A-005,RQ-A,"9.5일과 2-3 MAIN은 버전이 있는 제품 책임자 정책값이다",SUPPORTED,RULE_INPUT_CANDIDATE,NOT_APPLICABLE,DIRECT,"OWNER_DECISION_RECORD",NOT_APPLICABLE,"과학적 최적값이 아니며 규칙별 게이트 필요",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-B-001,RQ-B,"세션 뒤 24-96시간 반응은 세션과 지표 및 선수에 따라 다르다",SUPPORTED,DESCRIPTIVE_ONLY,PARTIAL,INDIRECT,"FRV2-B-004;SRC-PMID-41048235;FRV2-B-011;FRV2-B-014;SRC-PMID-37776346;FRV2-B-020",NOT_FOUND,"청소년 800 및 1500 MAIN 간격 직접 비교 없음",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-B-002,RQ-B,"72시간은 회복 완료 또는 다음 MAIN 허가다",NOT_SUPPORTED,PROHIBITED,PARTIAL,INDIRECT,"FRV2-B-009","SRC-PMID-41048235;FRV2-B-014;SRC-PMID-37776346;FRV2-B-020","선택 지표 회복을 전체 회복으로 일반화할 수 없음",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-C-001,RQ-C,"복합 세션은 순서와 간격을 가진 별도 구성요소로 보존해야 한다",CONDITIONALLY_SUPPORTED,RULE_INPUT_CANDIDATE,PARTIAL,INDIRECT,"SRC-PMID-41312139;FRV2-C-007;FRV2-C-010;FRV2-C-015",NOT_FOUND,"표현 계약은 제품 결정이며 안전을 입증하지 않음",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-C-002,RQ-C,"heavy resistance 뒤 matched plyometric 순서는 좁은 프로토콜에서 사용할 수 있다",CONDITIONALLY_SUPPORTED,RULE_INPUT_CANDIDATE,PARTIAL,INDIRECT,"SRC-PMID-41312139;FRV2-C-007",NOT_FOUND,"역순 비교와 전체 달리기 배치 정보가 부족함",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-C-003,RQ-C,"청소년 중거리 복합훈련에는 보편적인 순서와 간격이 있다",UNKNOWN,PROHIBITED,INDIRECT,INDIRECT,NOT_FOUND,"FRV2-C-015;FRV2-C-016;SRC-PMID-32407361;SRC-PMID-33751469","성인 결과도 outcome 별로 다름",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
