source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
FRV2-F-001,RQ-F,53 England Athletics Youth Talent Programme athletes; 29 endurance athletes; TARGET_DIRECT,TRACK_AND_FIELD;ENDURANCE,16-18_YEARS,31_FEMALE;22_OTHER_OR_NOT_FEMALE,NOT_REPORTED,NOT_REPORTED,YOUTH_TALENT_PROGRAMME,NOT_REPORTED,Survey plus athlete and staff focus groups/interview on health and wellbeing monitoring co-creation,No automated-plan or coach-plan comparison,Diary use; monitoring use; estimated entry time; cadence; mobile access; reminders; adaptive input; education; clarity; feedback usefulness,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FEASIBILITY;COMPREHENSION;BURDEN;COMPLETION;DATA_QUALITY,Diary use; monitoring use; time-on-task preference; consent/start/completion attrition; clarity and feedback preferences,"Cross-sectional survey and qualitative co-creation; product pilot should log item-level teach-back, time per step, abandonment, reminders and record completeness",CROSS_SECTIONAL,Consent; survey start; survey completion; focus groups/interview,"90 survey records incomplete across consent, start and completion stages; stage-specific missingness retained",NOT_REPORTED,62% did not keep a training diary; 45% did not monitor health/wellbeing; half of diary users reported 0-5 minutes,Purposive single programme; preference estimates are not universal pilot thresholds,Cadence and burden preferences varied; no individual prescription response assessed,"Age 16-18 only; no automated 9.5-day candidate; no efficacy, safety or recruitment inference",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-002,RQ-F,34 injured high-school athletes; only three track athletes; YOUTH_DIRECT,MIXED_SPORT;THREE_TRACK,14-18_YEARS,61.8_PERCENT_FEMALE,NOT_REPORTED,NOT_REPORTED,HIGH_SCHOOL_ATHLETES,NOT_REPORTED,"Consumer-grade wearable data collection with tutorials, sync checks, troubleshooting, GPS disabling and deidentified transfer",Two observed cohorts; no automated-plan or coach-plan comparison,Daily device wear and data transfer over about two months,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FEASIBILITY;OBSERVABILITY;COMPLETION;WITHDRAWAL;TECHNICAL_MISSINGNESS;PRIVACY,Daily adherence; exclusions; protocol exit; missing wear; sync and support events,"Prospective observational cohort; define field/day completeness mechanically and keep withdrawal, exit, technical failure and no-candidate distinct",ABOUT_TWO_MONTHS,Daily device observations; support and transfer events,Median adherence 93% and 95% in two cohorts with ranges and time variation; missing wear distinct from exclusion or withdrawal,NOT_REPORTED,Median daily wearable adherence 93% and 95% in two cohorts,"Small injured and compensated vendor-mediated sample; adherence percentages are contextual, not progression thresholds",Time-varying adherence reported at cohort level; individual response not extracted,"Only three track athletes; no plan explanation test; no physiological validity, safety or efficacy inference",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-003,RQ-F,60 adolescents from three schools; YOUTH_DIRECT,GENERAL_PHYSICAL_ACTIVITY,13-14_YEARS,ALL,NOT_REPORTED,NOT_REPORTED,SCHOOL_SAMPLE,NOT_REPORTED,Six-week wearable activity-tracker usability exposure plus focus groups,"No athlete, coach-plan or automated-prescription comparator",Device wear; comfort; design; sport-specific feedback; water-sport removal; sleep use,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ACCEPTABILITY;USABILITY;TECHNICAL_FRICTION;COMPREHENSION,Perceived ease/usefulness; comfort; removal; feedback specificity; sleep-use friction,Qualitative usability study; product transfer requires direct logging of task friction and teach-back of explanation specificity,SIX_WEEKS,Wear period and post-use focus groups,Device removal and use-context gaps described qualitatively; quantitative missingness not reported,NOT_REPORTED,Devices generally described as easy/useful with multiple practical frictions,Non-athlete school sample; qualitative outcome; no objective completion or universal threshold,Individual views varied qualitatively; no individual prescription response,"No automated 9.5-day or coach comparison; ease cannot stand for completion, efficacy or safety",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-004,RQ-F,1843 participants across 33 studies; YOUTH_DIRECT,GENERAL_PHYSICAL_ACTIVITY,5-19_YEARS,ALL,NOT_STANDARDIZED,NOT_REPORTED,MIXED,SEARCH_THROUGH_2019,Wearable activity-tracker interventions in children and adolescents,Heterogeneous study designs and implementation contexts,Attitude; burden; intervention coherence; understanding; usefulness; charging; syncing; design; adherence,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ACCEPTABILITY;FEASIBILITY;COMPREHENSION;BURDEN;COMPLETION,Multidimensional acceptability and actual adherence across 33 studies,Systematic review; each feasibility dimension remains separate and cannot be reduced to exposure or stated ease,HETEROGENEOUS,Study-specific follow-up points through 2019,"Technical, charging, syncing and device-use missingness heterogeneous; not pooled here",NOT_REPORTED,Some studies reported adherence declining after novelty; no single pooled feasibility estimate extracted,Heterogeneous mostly non-athlete interventions and variable risk of bias,Heterogeneous; individual participant response not extracted,"No coach-plan comparison; acceptability is not evidence of effectiveness, safety or 9.5-day validity",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-005,RQ-F,144 intervention adolescents from nine schools; YOUTH_DIRECT,GENERAL_PHYSICAL_ACTIVITY,MEAN_13.7_YEARS,ALL,NOT_REPORTED,NOT_REPORTED,INACTIVE_SCHOOL_SAMPLE,NOT_REPORTED,Twelve-week multicomponent wearable technology intervention implementation evaluation,Cluster-RCT context; no automated plan or coach-plan comparison,Tracker wear; content comprehension; weekly challenges; notifications; engagement,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPREHENSION;USABILITY;COMPLETION;COMPONENT_DROPOUT;NOTIFICATION_BURDEN,Easy-to-understand content; easy tracker use; daily wear; weekly challenge completion; engagement decline,Mixed-method implementation evaluation; product should measure teach-back and actual component completion separately,TWELVE_WEEKS,During intervention and post-intervention,Component-level dropout and wear decline reported; exact item missingness not extracted,NOT_REPORTED,83.3% found content easy to understand; 93.3% found tracker easy; 18.6% reported daily wear post-intervention; 36.1% completed weekly challenges,Inactive non-athlete sample; multicomponent; self-reported adherence,Engagement varied and declined; no individual prescription response,"Stated ease did not equal completion; no efficacy, safety or automated 9.5-day inference",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-006,RQ-F,20 adult competitive middle- and long-distance runners; ATHLETE_INDIRECT,MIDDLE_DISTANCE;LONG_DISTANCE,20-64_YEARS,ALL,NOT_APPLICABLE,NOT_REPORTED,COMPETITIVE,NOT_REPORTED,Six-week health and wellbeing monitoring prototype plus interviews,"No youth, automated-plan or coach-plan comparator",Weekly monitoring; item definitions; routine fit; visible output; data access and control,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETION;COMPREHENSION;FEEDBACK_USEFULNESS;PRIVACY_CONTROL,Weekly completion; terminology clarity; routine fit; feedback; access/control expectations,"Qualitative prototype study; transfer supports plain definitions, teach-back and visible access/control disclosures",SIX_WEEKS,Weekly monitoring and post-prototype interviews,One of 20 did not complete weekly monitoring; reasons not extracted,NOT_REPORTED,19/20 completed weekly monitoring,Small purposive adult sample; qualitative; broad age range,Individual experiences varied qualitatively; no automated prescription response,"Adult indirectness; no safety, efficacy or coach-comparison inference",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-007,RQ-F,"74 elite judo, swimming and volleyball athletes; ATHLETE_INDIRECT",MIXED_SPORT,MEAN_21_YEARS,ALL,NOT_APPLICABLE,NOT_REPORTED,ELITE,NOT_REPORTED,Online sports-health surveillance system used for 15-42 weeks,Face-to-face communication remained complementary and authoritative,Online responses; visible feedback; athlete communication expectations,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ACCEPTABILITY;RESPONSE_COMPLETION;COACH_COMMUNICATION,Response rate; user perception; expectation of feedback and face-to-face complement,Mixed-method pilot; product transfer logs response completeness and preserves human communication,15-42_WEEKS,Repeated online responses and end-user perceptions,Response rates 50-61%; cause-specific missingness not extracted,NOT_REPORTED,Response rates 50-61%; participants regarded system as complementary to face-to-face communication,Adult/young-adult non-runner sample; early subjective perceptions,Individual response not extracted,"Comments do not establish prevention, efficacy or safety; system cannot replace coach authority",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-008,RQ-F,No athlete population; METHOD_ONLY,METHODS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Methodological framework for feasibility-study design,"Examples across acceptability, demand, implementation, practicality, adaptation, integration, expansion and limited efficacy",Feasibility domains rather than a participant dose,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FEASIBILITY_METHODS,Acceptability; implementation; practicality; workflow integration; progression questions,Conceptual framework; first Formation pilot is restricted to observable feasibility and workflow processes,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Domains distinguished; no empirical effect estimate,No validated checklist or universal progression threshold,NOT_APPLICABLE,Conceptual and not youth or sport-specific; limited efficacy is excluded from first-pilot decision,PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-009,RQ-F,Methods research; METHOD_ONLY,METHODS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,International Delphi definition of feasibility and pilot studies,RCT-preparation terminology and intended future process,Pilot runs all or part of intended process on a smaller scale,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PILOT_DEFINITION;PROGRESSION_BOUNDARY,Whether and how the intended visible process can be done,Delphi consensus; Formation label is FEASIBILITY_ONLY and progression concerns observability and process,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Feasibility asks whether/how a future study can be done; no product effect estimate,Consensus oriented to RCT preparation and supplies no universal thresholds,NOT_APPLICABLE,"Does not establish product identity, effectiveness, safety or correctness",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-010,RQ-F,Healthcare stakeholders; METHOD_ONLY,DECISION_SUPPORT_EXPLANATION,NOT_APPLICABLE,ALL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Multidisciplinary conceptual analysis of explainability in healthcare AI,"Different users, roles and risk contexts",Inputs; rules/reasons; missingness; uncertainty; human authority; disagreement,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EXPLANATION;COMPREHENSION;DISAGREEMENT;HUMAN_AUTHORITY,Role-specific explanation needs and support for evaluation/disagreement resolution,Conceptual analysis; Formation pilot should test athlete and coach teach-back item by item,NOT_APPLICABLE,Explanation exposure and teach-back,NOT_APPLICABLE,NOT_APPLICABLE,Explanations may support evaluation and disagreement resolution; no quantified effect retained,No validated universal comprehension score,User needs are role-dependent; individual participant response not assessed,Healthcare conceptual transfer only; exposure is not comprehension and does not prove decision benefit or safety,PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
