source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
"FRV2-A-005","RQ-A","Humans represented in periodization meta-analyses; underlying studies were strength training","STRENGTH_TRAINING","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","MIXED","NOT_REPORTED","Systematic review of periodized versus non-periodized exercise meta-analyses","Varied non-periodized comparators and prediction-accuracy tests","21 studies in two meta-analyses","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","METHODOLOGY;ADAPTATION_TIMING","Presence of varied comparator; prospective accuracy of predicted timing","FULL_TEXT_VERIFIED","NOT_REPORTED","NOT_REPORTED","Running population, youth strata, dose, and timing details NOT_REPORTED","NOT_REPORTED","None of the audited studies tested varied non-periodized comparators or predicted adaptation timing","No distance-running evidence; no 7-day versus 9/9.5/10-day comparison","NOT_REPORTED","Strength-only evidence; does not validate any nonweekly running frame or predict recovery/adaptation completion","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
"FRV2-A-006","RQ-A","106 coaches; 58% individual-sport coaches; 32% coached international-level athletes","MULTIPLE_SPORTS","18-65+ years","92% male; 8% female","NOT_APPLICABLE","NOT_REPORTED","AMATEUR_THROUGH_INTERNATIONAL","NOT_REPORTED","Convenience online survey of planning concepts","NOT_APPLICABLE","Questionnaire; dose NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","COACH_PERCEPTION;PLAN_REVISABILITY","Agreement with fixed adaptation timeframes and fixed targets","FULL_TEXT_VERIFIED survey","CROSS_SECTIONAL","ONE_SURVEY","Running-specific subgroup and behavior verification NOT_REPORTED","NOT_APPLICABLE","33% agreed adaptations are achievable within fixed timeframes; 76% disagreed targets should remain fixed","Self-selection; perceptions do not establish efficacy or cycle prevalence","NOT_REPORTED","No running-specific subgroup; 92% male; no 9/9.5/10-day question or outcome efficacy","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
"FRV2-A-007","RQ-A","12 successful male Norwegian coaches across eight Olympic endurance sports","LONG_DISTANCE_RUNNING_AND_OTHER_OLYMPIC_ENDURANCE","NOT_REPORTED","Male","NOT_APPLICABLE","NOT_REPORTED","WORLD_CLASS_COACH_INFORMANTS","MULTIPLE_ANNUAL_PHASES","Questionnaire, training-log cross-reference, and interviews describing endurance planning","NOT_APPLICABLE","2-3 key workout days and 3-5 intensive sessions per week across sports","Weekly organization with pragmatic adjustments for travel, camps, and competition","NOT_REPORTED","NOT_APPLICABLE","NOT_REPORTED","PRACTICE_ORGANIZATION;PLAN_ADJUSTMENT","Reported weekly load, key-workout frequency, intensive-session frequency","FULL_TEXT_VERIFIED; Crossmark current on audit date","DESCRIPTIVE_RETROSPECTIVE","NOT_REPORTED","Athlete-level outcomes and exact runner subgroup details NOT_REPORTED","NOT_REPORTED","Weekly organization remained explicit; adjustments were pragmatic","Descriptive and partly retrospective; no causal comparison","NOT_REPORTED","All-male coaches; middle-distance under six minutes excluded; no exact nonweekly-cycle question; cannot establish standard 9.5-day practice","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
"FRV2-A-008","RQ-A","World-class adult distance runners","5000_M;10000_M;MARATHON","Adult","Mixed; not separately extracted","ADULT","NOT_REPORTED","WORLD_CLASS","MULTIPLE_ANNUAL_PHASES","Narrative integration of scientific literature and results-proven practice","NOT_APPLICABLE","11-14 sessions per week; typical training weeks","WEEKLY_ORGANIZATION","NOT_REPORTED","NOT_APPLICABLE","NOT_REPORTED","TRAINING_PRACTICE;SESSION_FREQUENCY","Sessions per week and typical-week structures","FULL_TEXT_VERIFIED","ANNUAL_PHASES","NOT_REPORTED","Sex-stratified details and exact source-level schedules NOT_REPORTED","NOT_REPORTED","Successful practice described in weekly units","Narrative selected-practice synthesis; no causal frame comparison","NOT_REPORTED","Long-distance adults rather than youth 800/1500; no nonweekly comparison; weekly reporting may reflect source convention","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
"FRV2-A-009","RQ-A","Eight elite adult middle-distance runners","MIDDLE_DISTANCE_RUNNING","25 +/- 6 years","6 male; 2 female","ADULT","NOT_REPORTED","ELITE_AND_INTERNATIONAL","NEAR_SEA_LEVEL_AND_ALTITUDE_CAMP","Coach-prescribed near-sea-level then live-high train-high training","Within-athlete context across near-sea-level and altitude; no frame comparator","4 weeks near sea level and 3-4 weeks at 2100 m","Typical training week with athlete-specific changes by event, physiology, and altitude experience","NOT_REPORTED","NOT_APPLICABLE","NOT_REPORTED","TRAINING_QUANTIFICATION;PERIODIZATION;INDIVIDUALIZATION","Weekly training characteristics and athlete-specific adjustments","FULL_TEXT_VERIFIED observational logs","7-8 WEEKS","WEEKLY_REPORTING","Adolescent stratum and nonweekly schedule NOT_REPORTED","NOT_REPORTED","Typical weekly organization coexisted with individual adjustment","n=8 observational camp case; no comparator","Athlete-specific event and altitude changes reported","Adult altitude-camp context; no 9/9.5/10-day frame; does not authorize efficacy or safety claims","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
"FRV2-A-010","RQ-A","13 healthy adult runners","RECREATIONAL_RUNNING_OVERLOAD","18-49 years","9 male; 4 female","ADULT","NOT_REPORTED","RUNNERS_COMPLETING_AT_LEAST_20_MILES_PER_WEEK_AND_VO2_CRITERIA","OVERLOAD_EXPERIMENT","Approximately 9-9.5 consecutive days of supervised twice-daily intervals plus glutamine or placebo","Glutamine versus placebo","Twice-daily intervals for approximately 9-9.5 consecutive days; five recovery days","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_REPORTED","MUCOSAL_IMMUNITY;SUPPLEMENT_RESPONSE;COMPLIANCE","Glutamine, nasal and salivary IgA, withdrawal, compliance","FULL_TEXT_VERIFIED official journal page","ABOUT_14_DAYS","OVERLOAD_PERIOD_AND_5_RECOVERY_DAYS","Performance, coaching use, and recurring-cycle outcomes NOT_REPORTED","One participant withdrew; reason NOT_VERIFIED","Primary supplement outcomes; 96% compliance","Very small sample; no seven-day comparator","NOT_REPORTED","False-positive exact duration: consecutive overload exposure, not recurring microcycle; prohibited as evidence for 9.5-day Formation efficacy or safety","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","SCREEN_EXCLUDE;PENDING_HUMAN_CONFIRMATION"
"FRV2-A-011","RQ-A","Meb Keflezighi, elite adult male marathoner","MARATHON","Late 30s","Male","ADULT","NOT_REPORTED","ELITE_PROFESSIONAL","2014_BOSTON_MARATHON_BUILD","Retrospective athlete-described 9-day training cycle","No comparator","One tempo run, one interval session, and one long run per 9-day cycle; other running adjusted by feel","TEMPO;INTERVAL;LONG_RUN across 9 days; exact dates NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_REPORTED","PRACTICE_USE;PERFORMANCE_CONTEXT;SUBJECTIVE_RECOVERY_RATIONALE","Named use of cycle; Boston win; 2:08:37 personal best context","OFFICIAL_WEBPAGE_VERIFIED athlete interview/report","ONE_MARATHON_BUILD","RETROSPECTIVE_REPORT","Exact daily dose, actual intervals, adherence, and adverse events NOT_REPORTED","NOT_REPORTED","Verified self-report of actual 9-day use; performance is context only","Single retrospective case; no causal attribution","Other running adjusted by feel","Adult marathoner with injury-history context; no youth/middle-distance transfer and no exact 9.5-day use","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
"FRV2-A-012","RQ-A","Michael Ko, adult recreational marathoner","MARATHON","NOT_REPORTED","Male","ADULT","NOT_REPORTED","RECREATIONAL","TOKYO_MARATHON_BUILD","Self-programmed 9-day cycle","No controlled comparator","Threshold/easy/easy repeated; third quality exposure was a long run","QUALITY;EASY;EASY repeated","Approximately 48 h between quality exposures by pattern; exact hours NOT_VERIFIED","NOT_APPLICABLE","NOT_REPORTED","PRACTICE_USE;SELF_REPORTED_PERFORMANCE;SUBJECTIVE_RECOVERY;ENJOYMENT","Named use; reported 2:56 personal best; recovery and enjoyment","OFFICIAL_WEBPAGE_VERIFIED journalistic self-report","ONE_MARATHON_BUILD","RETROSPECTIVE_REPORT","Exact age, full dose, actual intervals, and confounders NOT_REPORTED","NOT_REPORTED","Self-reported personal best and better recovery/enjoyment","Single self-programmed case; concurrent training changes; weekday feasibility issues","Single-athlete response only","Does not prove performance benefit, recovery completion, youth suitability, prevalence, or 9.5-day optimality/safety","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
"FRV2-A-013","RQ-A","Adult distance runners and coaches including Lindsey Scherf and Thom Hunt","MARATHON;HALF_MARATHON;CROSS_COUNTRY","Adult","Mixed","ADULT","NOT_REPORTED","ELITE_AND_RECREATIONAL","NOT_REPORTED","Coach/athlete interviews plus 9-day, 10-day, and 14-day practice templates","No controlled comparator","Template doses vary; Thom Hunt reported actual 10-day use","Template-specific; exact component order varies","A quoted 72 h preference; not physiological clearance","72","NOT_REPORTED","PRACTICE_USE;SCHEDULING_FEASIBILITY;SOCIAL_CONSTRAINTS","Named 10-day use; template existence; maintenance and schedule conflicts","OFFICIAL_WEBPAGE_VERIFIED","RETROSPECTIVE_AND_ADVICE","NOT_REPORTED","Measured outcomes, denominator, and actual interval histories NOT_REPORTED","NOT_REPORTED","Verified self-report of 10-day use and verified 9-day template; nonweekly schedules sometimes abandoned","Anecdotes and templates; no systematic sample or outcome testing","Reports difficulty maintaining 10-day routine and disruption of partners/social schedules","72 h is a stated preference only; cannot establish clearance, universal recovery, efficacy, safety, or prevalence","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
"FRV2-A-014","RQ-A","Distance runners; named Hansons Olympic Development Program and Ray Treacy athletes","DISTANCE_RUNNING","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","ELITE_PROGRAM_ATHLETES_AND_RUNNERS_BROADLY","NOT_REPORTED","Coaching article reporting 10-day to two-week cycles","No comparator","Hansons reportedly 10 days; Treacy reportedly 10 days to two weeks","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_REPORTED","REPORTED_PRACTICE_USE;COACHING_RATIONALE","Third-party report of program cycle length and perceived scheduling/recovery benefits","OFFICIAL_WEBPAGE_VERIFIED","NOT_REPORTED","NOT_REPORTED","Athlete denominator, exact protocol, outcomes, and primary confirmation NOT_REPORTED","NOT_REPORTED","Reported 10-day use only; not primary verified","Third-party coaching article; unsupported benefit and injury language","NOT_REPORTED","Cannot support prevalence, efficacy, injury prevention, safety, or exact 9.5-day mechanics","AI_EXTRACTION_LANE_1","NOT_APPLICABLE","PENDING_INDEPENDENT_EXTRACTION"
