source_id,primary_rq,secondary_rqs,lane_1_decision,lane_1_reason,lane_2_decision,lane_2_reason,adjudication,adjudication_reason,human_confirmation,full_text_eligibility
FRV2-A-005,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: No audited study tested varied nonperiodized comparators or accuracy of adaptation-timing predictions; running transfer is indirect. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Indirect periodization-method critique; use only against whole-architecture and superiority inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-006,RQ-A,,INCLUDE,"Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Perceptions support revisable planning indirectly; no running subgroup, cycle prevalence, or outcome efficacy. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false",INCLUDE,Broad coach survey supports revisable planning concepts only; no running cycle prevalence or efficacy claim,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-007,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Weekly organization remained explicit and pragmatic adjustments were reported; middle-distance events under six minutes were excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Indirect elite-endurance practice description and weekly countercontext; middle-distance under six minutes excluded,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-008,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Reports 11-14 sessions per week and typical training weeks; no nonweekly-frame comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Adult distance-running practice review; typical weeks only and no nonweekly comparison,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-009,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Typical training week with individual event and altitude adjustments; n=8 and no nonweekly comparator. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Small adult middle-distance observational case supports individualized weekly adjustment only,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-010,RQ-A,,EXCLUDE,Irrelevant-duration false positive: nine consecutive overload days are not a recurring nonweekly microcycle or 9.5-day prescription frame.,EXCLUDE,Nine-day overload experiment is not a recurring microcycle or prescription-frame study,EXCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-011,RQ-A,,INCLUDE,"Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Verified retrospective self-report of a 9-day cycle; use evidence only, with no causal efficacy or youth-transfer inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false",INCLUDE,Verified elite adult self-report supports 9-day practical use only; no causal or youth inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-012,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Single self-programmed 9-day case with self-reported outcomes and concurrent changes; no causal inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Single recreational self-report supports existence of 9-day use only; concurrent changes defeat efficacy inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-013,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Hunt reports actual 10-day use; article also provides a 9-day template and practical counterevidence. A quoted 72 hours is not clearance. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Coach and athlete article supports practical nonweekly rationale and counterconstraints only,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-014,RQ-A,,INCLUDE,"Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Third-party report of 10-day use, not a primary verified protocol; unsupported injury language excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false",INCLUDE,Third-party coaching discourse supports rationale only; named program use and injury claims remain unverified,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-015,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Verified 9-day sample plan and 10-day mention only; no implemented cohort or outcome. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Published 9-day template supports design exemplar only; not prevalence implementation or outcome evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-016,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Verified 10-day plan only; event-indirect and no athlete sample or outcome. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Official sprint coaching presentation verifies a 10-day plan only; event-indirect and outcome-free,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-A-017,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Verified self-report of a 10-day cycle; corrects a conflicting 9-day overview and permits no causal attribution. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Verified elite adult female self-report supports 10-day use only; no causal attribution,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-001,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Direct adolescent-runner biochemical time course; all-out 21 km; 2 h 4 h 24 h; not middle-distance direct.,INCLUDE,Direct adolescent-runner biochemical time course; abstract-only and limited to reported 21-km markers through 24 h,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-B-002,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Direct adolescent-runner biochemical time course; all-out 21 km; 2 h 4 h 24 h; no clearance inference.,INCLUDE,Direct adolescent-runner renal-marker time course; abstract-only and no readiness or clearance inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
